origen,archivo,numero,mes,anio,fuente_fecha,chars_portada
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-115-Septiembre-2013.pdf,115,9,2013,pdf,4027
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-116-Octubre-2013.pdf,116,10,2013,pdf,4001
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-117-noviembre-2013.pdf,117,11,2013,pdf,4026
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-118-diciembre-2013.pdf,118,12,2013,pdf,4014
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-119-enero-2014.pdf,119,1,2014,pdf,3993
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-120-Febrero-2014.pdf,120,2,2014,pdf,3993
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-121-marzo-2014.pdf,121,3,2014,pdf,4008
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-122.pdf,122,4,2014,pdf,4026
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-123-2014.pdf,123,5,2014,pdf,4059
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-124-2014.pdf,124,6,2014,pdf,4009
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-126-Agosto-2014.pdf,126,8,2014,pdf,4016
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-127-Septiembre-2014.pdf,127,9,2014,pdf,4087
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-128-Octubre-2014.pdf,128,10,2014,pdf,4122
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-129-Noviembre-2014.pdf,129,11,2014,pdf,4124
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-130-Diciembre-2014.pdf,130,12,2014,pdf,4126
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-131-Enero-2015.pdf,131,1,2015,pdf,4123
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-132-Febrero-2015.pdf,132,2,2015,pdf,4209
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-133-Marzo-2015.pdf,133,3,2015,pdf,4200
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-134-Abril-2015.pdf,134,4,2015,pdf,4179
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-135-Mayo-2015.pdf,135,5,2015,pdf,4183
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-136-Junio-2015.pdf,136,6,2015,pdf,4117
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-137-Julio-2015.pdf,137,7,2015,pdf,4123
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-138-Agosto-2015.pdf,138,8,2015,pdf,4108
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-139-Septiembre-2015.pdf,139,9,2015,pdf,4164
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-140-Octubre-2015.pdf,140,10,2015,pdf,4148
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-141-Noviembre-2015.pdf,141,11,2015,pdf,4164
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-142-Diciembre-2015.pdf,142,12,2015,pdf,4143
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-143-Enero-2016.pdf,143,1,2016,pdf,4146
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-144-Febrero-2016.pdf,144,2,2016,pdf,4150
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-145-Marzo-2016.pdf,145,3,2016,pdf,4030
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-146-Abril-2016.pdf,146,4,2016,pdf,4062
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-147-Mayo-2016.pdf,147,5,2016,pdf,4023
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-148-Junio-2016.pdf,148,6,2016,pdf,4029
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-149-Julio-2016.pdf,149,7,2016,pdf,4033
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-150-Agosto-2016.pdf,150,8,2016,pdf,4020
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-151-Septiembre-2016.pdf,151,9,2016,pdf,4023
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-152---Octubre-2016.pdf,152,10,2016,pdf,4038
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-153-Noviembre-2016.pdf,153,11,2016,pdf,4046
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-154-Diciembre-2016.pdf,154,12,2016,pdf,4049
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-155-Enero-2017-1.pdf,155,1,2017,pdf,4046
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-157-Marzo-2017.pdf,157,3,2017,pdf,4039
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-158-Abril-2017.pdf,158,4,2017,pdf,4046
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-159-Mayo-2017.pdf,159,5,2017,pdf,4076
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-160-Junio-2017.pdf,160,6,2017,pdf,4064
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-161-Julio-2017.pdf,161,7,2017,pdf,4078
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-162-Agosto-2017.pdf,162,8,2017,pdf,4102
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-163-Septiembre-2017.pdf,163,9,2017,pdf,4093
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-164-Octubre-2017.pdf,164,10,2017,pdf,4107
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-165-Noviembre-2017.pdf,165,11,2017,pdf,4093
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-166-Diciembre-2017.pdf,166,12,2017,pdf,4190
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-167-Enero-2018.pdf,167,1,2018,pdf,4180
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-168-Febrero-2018.pdf,168,2,2018,pdf,4147
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-172-Junio-2018.pdf,172,6,2018,pdf,4110
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-229-Marzo-2023.pdf,229,3,2023,pdf,4189
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-251-Enero-2025.pdf,251,1,2025,pdf,3474
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-34---Diciembre-2006.pdf,34,12,2006,pdf,4077
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-95-Enero-2012.pdf,95,1,2012,pdf,4013
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-98-Abril-2012.pdf,98,4,2012,pdf,3983
nuevo,Reporte-Mensual-de-Conflictos-Sociales-n._-212-octubre-2021.pdf,212,10,2021,pdf,4148
nuevo,Reporte-Mensual-de-Conflictos-Sociales-n._-214-_-diciembre-2021.pdf,214,12,2021,pdf,4156
nuevo,Reporte-Mensual-de-Conflictos-Sociales-n._-221-julio-2022.pdf,221,7,2022,pdf,4204
nuevo,Reporte-Mensual-de-Conflictos-Sociales-n._-226-diciembre-2022.pdf,226,12,2022,pdf,4237
nuevo,Reporte-Mensual-de-Conflictos-Sociales-n._-240-Febrero-2024.pdf,240,2,2024,pdf,3151
nuevo,Reporte-Mensual-de-Conflictos-Sociales-n._-243-Mayo-2024.pdf,243,5,2024,pdf,3169
nuevo,Reporte-Mensual-de-Conflictos-Sociales-n._-244-Junio_2024.pdf,244,6,2024,pdf,3221
nuevo,Reporte-Mensual-de-Conflictos-Sociales-n.º-218-_-abril-2022.pdf,218,4,2022,pdf,4210
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N230_Abril-2023.pdf,230,4,2023,pdf,4167
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-169---Marzo-2018.pdf,156,2,2017,pdf,4034
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-170---Abril-2018.pdf,170,4,2018,pdf,4192
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-171-Mayo-2018.pdf,171,5,2018,pdf,4154
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-194-abril-2020.pdf,194,4,2020,pdf,4596
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-195-mayo-2020.pdf,195,5,2020,pdf,4622
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-196-junio-2020.pdf,196,6,2020,pdf,4338
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-197-julio-2020.pdf,197,7,2020,pdf,4355
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-199-septiembre-2020.pdf,199,9,2020,pdf,4358
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-200-octubre-2020.pdf,200,10,2020,pdf,4342
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-201-noviembre-2020.pdf,201,11,2020,pdf,4355
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-202-diciembre-2020.pdf,202,12,2020,pdf,4158
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-203-enero-2021.pdf,203,1,2021,pdf,4161
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-204-febrero-2021.pdf,204,2,2021,pdf,4141
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-205-marzo-2021.pdf,205,3,2021,pdf,4152
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-206-abril-2021.pdf,206,4,2021,pdf,4186
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-207-Mayo-2021.pdf,207,5,2021,pdf,4182
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-208-junio-2021.pdf,208,6,2021,pdf,4167
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-209-julio-2021.pdf,209,7,2021,pdf,4194
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-210-agosto-2021.pdf,210,8,2021,pdf,4147
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-211-setiembre-2021.pdf,211,9,2021,pdf,4172
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-213-noviembre-2021.pdf,213,11,2021,pdf,4174
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-215-Enero-2022-1.pdf,215,1,2022,pdf,4192
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-216-Febrero-2022-VF.pdf,216,2,2022,pdf,4214
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-217-Marzo-2022.pdf.pdf,217,3,2022,pdf,4213
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-219-Mayo-2022.pdf,219,5,2022,pdf,4165
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-220-Junio-2022.pdf,220,6,2022,pdf,4196
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-222-Agosto-2022.pdf,222,8,2022,pdf,4255
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-223-Setiembre-2022.pdf,223,9,2022,pdf,4280
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-224-Octubre-2022.pdf,224,10,2022,pdf,4269
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-225-Noviembre-2022.pdf,225,11,2022,pdf,4285
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-227-Enero-2023.pdf,227,1,2023,pdf,4216
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-228-Febrero-2023.pdf,228,2,2023,pdf,4213
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-231-mayo-2023.pdf,231,5,2023,pdf,4161
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-232-Junio-2023.pdf,232,6,2023,pdf,4152
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-233-Julio-2023.pdf,233,7,2023,pdf,4182
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-234-Agosto-2023.pdf,234,8,2023,pdf,4217
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-235-Setiembre-2023.pdf,235,9,2023,pdf,4232
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-236-Octubre-2023.pdf,236,10,2023,pdf,4207
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-237-Noviembre-2023.pdf,237,11,2023,pdf,4227
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-238-Diciembre-2023.pdf,238,12,2023,pdf,4232
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-239-Enero-2024.pdf,239,1,2024,pdf,3255
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-246-Agosto_2024-1.pdf,246,8,2024,pdf,3187
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-248-Octubre_2024.pdf,248,10,2024,pdf,3460
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-254-Abr_2025.pdf,254,4,2025,pdf,3440
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N_-260-Oct_2025.pdf,260,10,2025,pdf,3393
nuevo,reporte_conflictos_59_enero2009.pdf,59,1,2009,pdf,2548
nuevo,Reporte_conflictos_90.pdf,90,8,2011,pdf,4060
nuevo,Reporte_Mensual_de_Conflictos_Sociales_N_173_-_Julio_2018.pdf,173,7,2018,pdf,4168
nuevo,Reporte_Mensual_de_Conflictos_Sociales_N_192_-_febrero_2020.pdf,192,2,2020,pdf,4133
nuevo,Reporte_Mensual_de_Conflictos_Sociales_N_193_-_marzo_2020.pdf,193,3,2020,pdf,4375
nuevo,Reporte_Mensual_de_Conflictos_Sociales_N_198_-_agosto_2020.pdf,198,8,2020,pdf,4336
drive,Reporte-Mensual-de-Conflictos-Sociales-N°-246-Agosto_2024-1.pdf,246,8,2024,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N°-235-Setiembre-2023.pdf,235,9,2023,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N°-236-Octubre-2023.pdf,236,10,2023,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N°-228-Febrero-2023.pdf,228,2,2023,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N°-238-Diciembre-2023.pdf,238,12,2023,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N°-232-Junio-2023.pdf,232,6,2023,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N230_Abril-2023.pdf,,4,2023,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N-229-Marzo-2023.pdf,229,3,2023,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N-168-Febrero-2018.pdf,168,2,2018,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N-167-Enero-2018.pdf,167,1,2018,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N-166-Diciembre-2017.pdf,166,12,2017,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N-165-Noviembre-2017.pdf,165,11,2017,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N-164-Octubre-2017.pdf,164,10,2017,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N-163-Septiembre-2017.pdf,163,9,2017,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N-162-Agosto-2017.pdf,162,8,2017,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N-161-Julio-2017.pdf,161,7,2017,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N-160-Junio-2017.pdf,160,6,2017,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N-159-Mayo-2017.pdf,159,5,2017,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N-158-Abril-2017.pdf,158,4,2017,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N-157-Marzo-2017.pdf,157,3,2017,nombre,
drive,Reporte-Mensual-de-Conflictos-Sociales-N-155-Enero-2017-1.pdf,155,1,2017,nombre,
