archivo,numero,mes,anio,fuente_fecha
Reporte-Mensual-de-Conflictos-Sociales-N-147-Mayo-2016.pdf,147,5,2016,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-148-Junio-2016.pdf,148,6,2016,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-149-Julio-2016.pdf,149,7,2016,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-150-Agosto-2016.pdf,150,8,2016,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-151-Septiembre-2016.pdf,151,9,2016,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-152---Octubre-2016.pdf,152,10,2016,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-153-Noviembre-2016.pdf,153,11,2016,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-154-Diciembre-2016.pdf,154,12,2016,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-155-Enero-2017-1.pdf,155,1,2017,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-156-Febrero-2017.pdf,156,2,2017,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-157-Marzo-2017.pdf,157,3,2017,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-158-Abril-2017.pdf,158,4,2017,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-159-Mayo-2017.pdf,159,5,2017,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-160-Junio-2017.pdf,160,6,2017,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-161-Julio-2017.pdf,161,7,2017,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-162-Agosto-2017.pdf,162,8,2017,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-163-Septiembre-2017.pdf,163,9,2017,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-164-Octubre-2017.pdf,164,10,2017,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-165-Noviembre-2017.pdf,165,11,2017,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-166-Diciembre-2017.pdf,166,12,2017,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-167-Enero-2018.pdf,167,1,2018,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-168-Febrero-2018.pdf,168,2,2018,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-169-Marzo-2018.pdf,169,3,2018,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-172-Junio-2018.pdf,172,6,2018,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-229-Marzo-2023.pdf,229,3,2023,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-251-Enero-2025.pdf,251,1,2025,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-34---Diciembre-2006.pdf,34,12,2006,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-95-Enero-2012.pdf,95,1,2012,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-98-Abril-2012.pdf,98,4,2012,pdf
Reporte-Mensual-de-Conflictos-Sociales-n._-212-octubre-2021.pdf,212,10,2021,pdf
Reporte-Mensual-de-Conflictos-Sociales-n._-214-_-diciembre-2021.pdf,214,12,2021,pdf
Reporte-Mensual-de-Conflictos-Sociales-n._-221-julio-2022.pdf,221,7,2022,pdf
Reporte-Mensual-de-Conflictos-Sociales-n._-226-diciembre-2022.pdf,226,12,2022,pdf
Reporte-Mensual-de-Conflictos-Sociales-n._-240-Febrero-2024.pdf,240,2,2024,pdf
Reporte-Mensual-de-Conflictos-Sociales-n._-243-Mayo-2024.pdf,243,5,2024,pdf
Reporte-Mensual-de-Conflictos-Sociales-n._-244-Junio_2024.pdf,244,6,2024,pdf
Reporte-Mensual-de-Conflictos-Sociales-n.o-218-_-abril-2022.pdf,218,4,2022,pdf
Reporte-Mensual-de-Conflictos-Sociales-N230_Abril-2023.pdf,230,4,2023,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-170---Abril-2018.pdf,170,4,2018,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-171-Mayo-2018.pdf,171,5,2018,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-194-abril-2020.pdf,194,4,2020,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-195-mayo-2020.pdf,195,5,2020,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-196-junio-2020.pdf,196,6,2020,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-197-julio-2020.pdf,197,7,2020,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-199-septiembre-2020.pdf,199,9,2020,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-200-octubre-2020.pdf,200,10,2020,pdf
