archivo,numero,mes,anio,formato,paginas,ancho,alto,chars_p1,imgs_p1,dibujos_p1,fuente_p1,escaneado
octubre 2005 - conflictos_sociales20.pdf,20,10,2005,reporte_n_tabla_regiones,41,595,842,1735,0,79,Arial,0
RCS-N-252-Feb-2025.pdf,252,2,2025,infografia_ciclo_2024,108,595,842,1365,5,12,FranklinGothic-Book,0
reporte-078.pdf,78,8,2010,adjuntia_portada_estadistica,56,595,842,606,1,12,Arial,0
Reporte-46-diciembre-2007.pdf,46,12,2007,unidad_reporte_n,169,588,768,1823,3,437,CenturyGothic,0
Reporte-63.pdf,63,5,2009,adjuntia_portada_estadistica,79,595,842,1828,0,26,FranklinGothic-Medium,0
reporte-64.pdf,64,6,2009,adjuntia_portada_estadistica,79,595,842,1809,0,26,FranklinGothic-Medium,0
reporte-65.pdf,65,7,2009,adjuntia_portada_estadistica,77,595,842,1845,0,27,FranklinGothic-Medium,0
reporte-66.pdf,66,8,2009,adjuntia_portada_estadistica,83,595,842,1846,0,26,FranklinGothic-Book,0
reporte-69.pdf,69,11,2009,adjuntia_portada_estadistica,81,595,842,1863,0,26,FranklinGothicMedium,0
reporte-71.pdf,71,1,2010,adjuntia_portada_estadistica,73,595,842,1938,0,27,FranklinGothic-Medium,0
Reporte-73.pdf,73,3,2010,adjuntia_portada_estadistica,64,595,842,579,12,15,Arial,0
Reporte-74.pdf,74,4,2010,adjuntia_portada_estadistica,70,595,842,562,1,12,Arial,0
reporte-75-2010.pdf,75,5,2010,adjuntia_portada_estadistica,64,595,842,582,10,15,ArialMT,0
reporte-76-2010.pdf,76,6,2010,adjuntia_portada_estadistica,63,595,842,605,1,12,Arial,0
reporte-77.pdf,77,7,2010,adjuntia_portada_estadistica,63,595,842,630,1,12,Arial,0
reporte-80.pdf,80,10,2010,adjuntia_portada_estadistica,62,595,842,607,12,15,Arial,0
reporte-81.pdf,81,11,2010,adjuntia_portada_estadistica,65,595,842,609,531,26,ArialMT,0
reporte-82.pdf,82,12,2010,adjuntia_portada_estadistica,68,595,842,609,12,15,Arial,0
reporte-83.pdf,83,1,2011,adjuntia_portada_estadistica,67,595,842,624,12,15,Arial,0
reporte-84.pdf,84,2,2011,adjuntia_portada_estadistica,62,595,842,603,2,12,Arial,0
Reporte-87-mayo-2011.pdf,87,5,2011,adjuntia_portada_estadistica,63,595,842,624,2,12,Arial,0
Reporte-88.pdf,88,6,2011,adjuntia_portada_estadistica,60,595,842,602,2,12,Arial,0
Reporte-89.pdf,89,7,2011,adjuntia_portada_estadistica,57,595,842,605,10,15,ArialMT,0
reporte-conflictos-55.pdf,55,9,2008,unidad_sumilla,54,595,842,1742,0,22,Franklin Gothic Book,0
reporte-conflictos-56.pdf,56,10,2008,unidad_sumilla,71,595,842,1785,0,22,FranklinGothic-Book,0
reporte-conflictos-57.pdf,57,11,2008,unidad_sumilla,65,595,842,1718,0,26,FranklinGothic-Book,0
Reporte-conflictos-93.pdf,93,11,2011,adjuntia_portada_estadistica,68,595,842,869,0,13,"Arial,Bold",0
Reporte-Conflictos-Sociales-249-Noviembre-2024.pdf,249,11,2024,infografia_ciclo_2024,111,595,842,1366,5,12,FranklinGothic-Book,0
Reporte-Conflictos-Sociales-250-Diciembre-2024.pdf,250,12,2024,infografia_ciclo_2024,93,595,842,1367,5,12,FranklinGothic-Book,0
Reporte-Conflictos-Sociales-N-261-Noviembre-2025.pdf,261,11,2025,infografia_ciclo_2024,132,595,842,1297,5,10,FranklinGothic-Book,0
Reporte-Conflictos-Sociales-N-263-Enero-2026.pdf,263,1,2026,infografia_ciclo_2024,109,595,842,1262,5,10,FranklinGothic-Book,0
Reporte-de-conflictos-N-94.pdf,94,12,2011,adjuntia_portada_estadistica,63,595,842,884,2,13,"Arial,Bold",0
